Cat,SL,JL,A2OrIns,A2OrJoint,A2Tendon,A2Li,A2Lo,A2AvgFL,A2AvgPenn,A2Mass,A3OrIns,A3OrJoint,A3Tendon,A3Li,A3Lo,A3AvgFL,A3AvgPenn,A3Mass,AwOrIns,AwOrJoint,AwTendon,AwLi,AwLo,AwAvgFL,AwAvgPenn,AwMass,SpecAng,Gape,Sspine,MandWidth,MandDepth,SymphLength,Species,mass
MCZ42217,19.7,2.217,2.1081,2.0666,0.495,0.3646,2.1252,1.40794,0,0.0668,1.71,1.632,0,0.362,2.149,0.842,9.7201,0.0141,1.018,0.298,0,1.163,2.112,0.8279,0,0.008,24.441,110,0.833,NA,NA,0,Csloani,14.65751298
MCZ42217,25.8,3.109,2.704,2.855,0.582,0.526,3.027,1.8967,0,0.209,2.061,2.053,0,0.387,2.907,1.159,15.409,0.0283,0.997,0.505,0,1.312,2.927,0.8861,0,0.0253,12.328,110,1.091,NA,NA,0,Csloani,33.40161809
MCZ58788,19,2.493,2.205,2.325,0.34,0.364,2.419,1.4932,0,0.1244,1.537,1.606,0,0.324,2.367,0.9555,15.3102,0.0198,1.047,0.361,0,1.342,2.441,0.8887,0,0.0182,12.039,110,0.883,NA,NA,0,Csloani,13.1245552
MCZ58788,20.3,2.654,2.297,2.397,0.466,0.345,2.568,1.5071,0,0.1377,1.746,1.804,0,0.375,2.594,0.9201,16.9155,0.0283,1.196,0.469,0,1.553,2.595,0.871,0,0.0202,9.976,110,0.971,NA,NA,0,Csloani,16.06365949
MCZ129254,16,2.029,1.864,1.81,0.334,0.271,1.928,1.1616,0,0.0642,1.247,1.169,0,0.324,2.003,0.6499,16.5544,0.0159,0.881,0.254,0,1.064,1.894,0.6069,0,0.0101,31.092,110,0.765,NA,NA,0,Csloani,7.766121403
MCZ129254,16.8,2.108,1.92,1.934,0.402,0.31,2.045,1.2128,0,0.0477,1.322,1.271,0,0.295,2.033,0.671,13.4452,0.0118,0.91,0.334,0,1.11,2.052,0.6617,0,0.0115,23.996,110,0.775,NA,NA,0,Csloani,9.013675398
MCZ129254,18.6,2.28,2.043,2.114,0.386,0.322,2.236,1.2545,0,0.1056,1.464,1.451,0,0.33,2.24,0.8227,14.0347,0.0137,0.792,0.336,0,1.07,2.198,0.5822,0,0.0132,6.858,110,0.852,NA,NA,0,Csloani,12.29900278
MCZ148580,10.3,1.302,1.147,1.195,0.2,0.169,1.287,0.7197,0,0.0126,0.934,1.025,0,0.164,1.269,0.5676,14.5632,0.0062,0.534,0.239,0,0.718,1.279,0.4168,0,0.0026,18.431,110,0.508,NA,NA,0,Csloani,2.023748085
MCZ148580,12.6,1.652,1.454,1.527,0.25,0.248,1.596,1.0554,0,0.0332,1.099,1.132,0,0.243,1.578,0.5485,18.9041,0.0082,0.659,0.257,0,0.828,1.598,0.5192,0,0.0038,10.356,110,0.63,NA,NA,0,Csloani,3.744758412
MCZ148580,13.6,1.763,1.518,1.572,0.242,0.196,1.694,1.0717,0,0.029,1.114,1.162,0,0.231,1.701,0.6292,16.9155,0.008,0.654,0.273,0,0.848,1.708,0.5218,0,0.0045,8.207,110,0.686,NA,NA,0,Csloani,4.728217825
