x	y 
292.000	508.000
292.057	509.306
291.994	510.617
291.904	511.976
291.875	513.424
292.001	515.004
292.353	516.744
292.939	518.608
293.747	520.547
294.767	522.512
295.989	524.453
297.401	526.319
298.994	528.062
300.756	529.632
302.675	531.011
304.733	532.214
306.915	533.261
309.204	534.171
311.584	534.963
314.038	535.655
316.550	536.268
319.103	536.819
321.681	537.325
324.257	537.775
326.802	538.135
329.285	538.374
331.675	538.458
333.940	538.356
336.051	538.035
337.977	537.462
339.686	536.606
341.151	535.479
342.342	534.145
343.235	532.672
343.803	531.128
344.017	529.580
343.864	528.094
343.501	526.696
343.210	525.385
343.277	524.158
343.988	523.011
345.560	521.944
347.919	520.953
350.918	520.038
354.409	519.197
358.246	518.428
362.280	517.730
366.366	517.101
370.355	516.540
374.100	516.044
377.455	515.613
380.271	515.245
382.402	514.938
383.839	514.684
384.862	514.460
385.789	514.244
386.937	514.011
388.569	513.742
390.700	513.435
393.272	513.093
396.228	512.720
399.511	512.319
403.064	511.893
406.830	511.447
410.752	510.982
414.771	510.504
418.832	510.015
422.878	509.519
426.850	509.019
430.700	508.519
434.421	508.021
438.014	507.529
441.483	507.047
444.830	506.576
448.058	506.120
451.169	505.683
454.166	505.267
457.051	504.875
459.828	504.511
462.499	504.178
465.066	503.878
467.541	503.609
469.941	503.360
472.286	503.121
474.595	502.880
476.889	502.627
479.186	502.352
481.505	502.042
483.867	501.688
486.277	501.288
488.677	500.888
490.993	500.545
493.146	500.318
495.063	500.265
496.665	500.445
497.878	500.916
498.644	501.720
499.026	502.803
499.128	504.077
499.054	505.452
498.909	506.834
498.800	508.042
498.839	508.830
499.133	508.954
499.681	508.355
500.305	507.256
500.817	505.906
501.029	504.551
500.929	503.341
500.772	502.280
500.834	501.359
501.380	500.571
502.461	499.908
503.954	499.362
505.725	498.929
507.644	498.601
509.579	498.372
511.404	498.237
513.032	498.214
514.396	498.329
515.428	498.607
516.060	499.076
516.280	499.758
516.217	500.670
516.027	501.824
515.852	503.200
515.764	504.564
515.807	505.603
516.027	506.001
516.440	505.578
516.973	504.552
517.536	503.221
518.042	501.884
518.427	500.765
518.715	499.870
518.944	499.162
519.169	498.606
519.602	498.177
520.528	497.856
522.025	497.622
523.951	497.456
526.152	497.338
528.479	497.248
530.777	497.165
532.897	497.070
534.687	496.945
536.078	496.863
537.102	497.010
537.796	497.582
538.200	498.755
538.391	500.440
538.471	502.328
538.546	504.102
538.722	505.448
539.103	506.051
539.706	505.768
540.364	504.833
540.881	503.527
541.084	502.121
541.044	500.744
541.009	499.421
541.232	498.177
541.964	497.036
543.390	496.023
545.384	495.174
547.736	494.526
550.236	494.117
552.675	493.984
554.842	494.165
556.528	494.697
557.542	495.611
557.945	496.837
557.986	498.232
557.917	499.652
557.991	500.953
558.400	502.001
559.066	502.708
559.835	502.999
560.567	502.816
561.218	502.231
561.794	501.379
562.297	500.389
562.700	499.341
562.957	498.275
563.018	497.231
562.862	496.244
562.679	495.315
562.765	494.430
563.402	493.578
564.618	492.822
566.177	492.303
567.836	492.163
569.349	492.545
570.480	493.583
571.167	495.177
571.538	496.974
571.728	498.612
571.873	499.729
572.108	499.968
572.488	499.267
572.967	497.963
573.489	496.419
573.999	495.002
574.475	493.999
575.033	493.380
575.823	493.040
576.963	492.881
578.355	492.890
579.807	493.086
581.131	493.489
582.134	494.119
582.711	494.986
582.960	496.074
583.013	497.365
583.000	498.840
583.039	500.452
583.175	502.004
583.428	503.248
583.818	503.936
584.361	503.840
585.016	502.988
585.698	501.593
586.325	499.870
586.813	498.033
587.083	496.295
587.168	494.787
587.246	493.540
587.504	492.576
588.128	491.919
589.205	491.572
590.580	491.484
592.056	491.596
593.437	491.849
594.535	492.188
595.295	492.649
595.787	493.354
596.089	494.424
596.274	495.839
596.418	497.370
596.595	498.771
596.880	499.798
597.334	500.227
597.891	500.081
598.413	499.524
598.808	498.673
599.003	497.628
598.934	496.486
598.691	495.333
598.548	494.241
598.787	493.279
599.666	492.514
601.136	491.979
602.952	491.684
604.866	491.637
606.629	491.849
607.993	492.329
608.778	493.075
609.085	494.040
609.086	495.164
608.955	496.388
608.822	497.652
608.751	498.896
608.800	500.059
609.029	501.082
609.447	501.844
609.928	502.043
610.338	501.400
610.691	500.038
611.062	498.234
611.526	496.269
612.154	494.422
613.024	492.973
614.172	492.122
615.506	491.770
616.903	491.751
618.239	491.898
619.392	492.045
620.274	492.205
620.848	492.635
621.087	493.599
621.051	495.088
620.887	496.848
620.742	498.620
620.763	500.139
621.098	501.147
621.784	501.490
622.620	501.266
623.375	500.604
623.955	499.605
624.388	498.346
624.709	496.903
624.953	495.353
625.157	493.774
625.388	492.253
625.724	490.885
626.243	489.764
627.025	488.985
628.104	488.618
629.360	488.650
630.634	489.049
631.767	489.780
632.620	490.807
633.192	492.069
633.555	493.489
633.783	494.993
633.947	496.505
634.118	497.941
634.350	499.138
634.685	499.875
635.163	499.935
635.764	499.262
636.360	498.073
636.818	496.608
637.001	495.110
636.838	493.786
636.574	492.660
636.557	491.705
637.133	490.889
638.516	490.196
640.564	489.635
643.083	489.223
645.875	488.974
648.744	488.905
651.494	489.032
653.929	489.370
655.852	489.935
657.112	490.736
657.791	491.753
658.048	492.954
658.046	494.309
657.942	495.779
657.846	497.217
657.824	498.365
657.940	498.966
658.249	498.792
658.710	497.920
659.234	496.583
659.734	495.014
660.123	493.447
660.404	492.033
660.711	490.806
661.188	489.791
661.978	489.014
663.182	488.487
664.707	488.173
666.412	488.019
668.154	487.974
669.792	487.987
671.187	488.005
672.320	488.005
