x	y
199.000	474.000
201.929	474.261
204.884	474.508
207.856	474.745
210.839	474.982
213.825	475.224
216.807	475.478
219.778	475.752
222.729	476.052
225.655	476.386
228.546	476.761
231.397	477.182
234.199	477.658
236.946	478.196
239.630	478.802
242.243	479.483
244.778	480.246
247.233	481.090
249.609	481.999
251.911	482.956
254.142	483.944
256.306	484.947
258.407	485.948
260.449	486.930
262.434	487.876
264.367	488.769
266.252	489.593
268.091	490.330
269.890	490.964
271.648	491.487
273.354	491.932
274.990	492.343
276.542	492.767
277.993	493.249
279.326	493.835
280.525	494.569
281.574	495.497
282.458	496.664
283.178	498.073
283.749	499.695
284.190	501.498
284.516	503.452
284.744	505.526
284.891	507.688
284.974	509.908
285.009	512.155
285.013	514.397
285.002	516.603
284.995	518.746
285.012	520.816
285.076	522.813
285.211	524.738
285.439	526.589
285.783	528.367
286.267	530.071
286.914	531.701
287.746	533.257
288.786	534.739
290.054	536.145
291.536	537.471
293.206	538.712
295.038	539.861
297.005	540.912
299.080	541.859
301.237	542.697
303.451	543.418
305.694	544.017
307.940	544.488
310.163	544.825
312.336	545.021
314.444	545.077
316.495	545.005
318.506	544.819
320.489	544.535
322.459	544.168
324.429	543.733
326.415	543.244
328.430	542.716
330.488	542.165
332.603	541.605
334.789	541.051
337.056	540.515
339.379	539.990
341.725	539.463
344.061	538.921
346.355	538.352
348.572	537.742
350.679	537.079
352.643	536.351
354.431	535.543
356.009	534.644
357.344	533.641
358.405	532.521
359.206	531.296
359.824	530.005
360.338	528.692
360.828	527.398
361.372	526.165
362.050	525.035
362.941	524.051
364.112	523.246
365.568	522.616
367.294	522.144
369.277	521.816
371.504	521.613
373.959	521.521
376.631	521.523
379.504	521.604
382.566	521.747
385.802	521.935
389.199	522.154
392.743	522.386
396.421	522.616
400.218	522.828
404.121	523.005
408.116	523.135
412.189	523.220
416.326	523.264
420.514	523.270
424.738	523.245
428.984	523.191
433.238	523.114
437.487	523.017
441.716	522.906
445.912	522.783
450.059	522.655
454.146	522.525
458.156	522.398
462.077	522.277
465.895	522.168
469.595	522.074
473.163	522.001
476.586	521.952
479.849	521.932
482.939	521.945
485.842	521.996
488.545	522.086
491.048	522.201
493.352	522.325
495.459	522.440
497.371	522.530
499.088	522.575
500.614	522.560
501.949	522.467
503.096	522.278
504.056	521.977
504.832	521.578
505.433	521.204
505.866	521.000
506.149	521.100
506.410	521.466
506.873	521.920
507.735	522.298
509.009	522.565
510.626	522.738
512.518	522.837
514.617	522.882
516.854	522.890
519.161	522.881
521.469	522.873
523.710	522.887
525.816	522.940
527.719	523.052
529.394	523.213
530.868	523.383
532.176	523.516
533.349	523.567
534.421	523.492
535.424	523.245
536.390	522.785
537.305	522.161
538.096	521.540
538.685	521.094
538.998	520.998
539.008	521.362
538.903	522.033
538.928	522.786
539.312	523.412
540.112	523.850
541.286	524.127
542.790	524.272
544.577	524.315
546.604	524.284
548.826	524.207
551.197	524.115
553.674	524.036
556.212	523.999
558.770	524.023
561.323	524.098
563.848	524.205
566.321	524.328
568.721	524.449
571.023	524.552
573.205	524.619
575.245	524.634
577.119	524.579
578.803	524.436
580.276	524.190
581.515	523.822
582.524	523.326
583.338	522.703
583.991	521.956
584.520	521.089
584.960	520.103
585.341	519.027
585.654	518.015
585.878	517.266
585.992	516.978
585.979	517.323
585.879	518.228
585.754	519.501
585.668	520.952
585.684	522.386
585.866	523.611
586.275	524.447
586.925	524.882
587.794	525.036
588.860	525.030
590.100	524.988
591.491	525.031
593.004	525.209
594.594	525.463
596.218	525.725
597.831	525.926
599.389	525.999
600.847	525.875
602.162	525.486
603.289	524.765
604.204	523.730
604.916	522.552
605.439	521.418
605.786	520.517
605.971	520.035
606.012	520.143
605.982	520.804
605.992	521.839
606.151	523.069
606.572	524.315
607.362	525.397
608.534	526.222
609.976	526.808
611.565	527.180
613.181	527.361
614.701	527.377
616.004	527.252
616.969	527.012
617.517	526.668
617.772	526.176
617.912	525.473
618.113	524.503
618.441	523.320
618.849	522.099
619.283	521.019
619.691	520.260
620.020	520.002
620.229	520.352
620.323	521.184
620.312	522.325
620.211	523.603
620.030	524.845
619.795	525.900
619.609	526.746
619.603	527.413
619.909	527.927
620.635	528.313
621.733	528.579
623.089	528.723
624.590	528.745
626.123	528.643
627.575	528.416
628.832	528.065
629.798	527.586
630.487	526.969
630.954	526.201
631.257	525.266
631.451	524.152
631.590	522.854
631.701	521.474
631.792	520.185
631.871	519.159
631.947	518.567
632.028	518.580
632.129	519.241
632.275	520.391
632.492	521.855
632.807	523.459
633.245	525.027
633.833	526.383
634.595	527.356
635.522	527.900
636.561	528.120
637.657	528.133
638.755	528.054
639.800	527.998
640.742	528.060
641.567	528.181
642.277	528.231
642.875	528.079
643.366	527.613
643.770	526.852
644.119	525.886
644.443	524.802
644.773	523.687
645.137	522.631
645.519	521.739
645.835	521.145
645.995	520.984
645.935	521.358
645.734	522.188
645.522	523.332
645.430	524.644
645.588	525.981
646.128	527.199
647.109	528.192
648.432	528.947
649.970	529.464
651.598	529.744
653.190	529.785
654.620	529.588
655.764	529.153
656.511	528.483
656.895	527.609
657.026	526.578
657.013	525.436
656.968	524.229
657.000	523.005
657.186	521.826
657.471	520.827
657.766	520.160
657.981	519.977
658.043	520.400
657.988	521.359
657.891	522.716
657.828	524.329
657.876	526.059
658.110	527.763
658.607	529.303
659.439	530.540
660.594	531.406
661.968	531.910
663.455	532.063
664.946	531.879
666.335	531.367
667.513	530.541
668.376	529.416
668.904	528.080
669.163	526.703
669.224	525.454
669.157	524.505
669.033	524.026
668.920	524.166
668.886	524.862
668.992	525.944
669.302	527.241
669.880	528.579
670.789	529.789
672.065	530.731
673.649	531.388
675.463	531.769
677.425	531.884
679.457	531.742
681.479	531.353
683.410	530.725
685.171	529.869
686.682	528.794
687.867	527.512
688.728	526.097
689.332	524.677
689.747	523.381
690.043	522.336
690.289	521.671
690.553	521.515
690.875	521.918
691.223	522.749
691.554	523.851
691.826	525.065
691.999	526.236
692.055	527.239
692.092	528.092
692.236	528.850
692.611	529.567
693.341	530.296
694.458	531.042
695.873	531.749
697.492	532.355
699.219	532.799
700.959	533.020
702.617	532.956
704.096	532.546
705.302	531.730
706.193	530.522
706.819	529.075
707.241	527.551
707.520	526.117
707.718	524.937
707.894	524.177
708.109	523.994
708.373	524.392
708.645	525.204
708.882	526.252
709.042	527.364
709.123	528.427
709.193	529.431
709.321	530.372
709.580	531.248
710.041	532.056
710.742	532.771
711.609	533.301
712.547	533.538
713.460	533.375
714.254	532.709
714.876	531.557
715.341	530.124
715.668	528.632
715.873	527.300
715.978	526.349
715.999	526.000
715.964	526.387
715.926	527.358
715.943	528.703
716.074	530.211
716.377	531.671
716.910	532.873
717.715	533.637
718.737	533.981
719.883	533.993
721.061	533.762
722.179	533.377
723.145	532.925
723.895	532.453
724.438	531.904
724.792	531.204
724.977	530.282
725.015	529.080
724.955	527.699
724.860	526.320
724.795	525.122
724.824	524.289
725.011	524.001
725.394	524.375
725.917	525.294
726.506	526.593
727.083	528.103
727.575	529.657
727.904	531.089
727.997	532.232
727.879	533.013
727.785	533.547
727.974	533.975
728.646	534.403
729.722	534.791
731.040	535.052
732.436	535.098
733.749	534.844
734.814	534.203
735.491	533.109
735.803	531.667
735.854	530.063
735.747	528.483
735.585	527.112
735.472	526.137
735.512	525.744
735.765	526.036
736.159	526.864
736.598	528.029
736.984	529.332
737.220	530.572
737.219	531.563
737.061	532.263
736.945	532.748
737.077	533.094
737.562	533.359
738.341	533.570
739.340	533.750
740.485	533.922
741.701	534.110
742.927	534.295
744.113	534.430
745.207	534.468
746.159	534.360
746.917	534.057
747.443	533.520
747.763	532.763
747.929	531.818
747.990	530.720
748.000	529.500
748.005	528.199
748.021	526.928
748.034	525.857
748.032	525.154
748.002	524.992
747.938	525.491
747.864	526.560
747.815	528.043
747.826	529.784
747.929	531.628
748.161	533.420
748.555	535.003
749.144	536.223
749.929	536.973
750.832	537.250
751.768	537.064
752.649	536.425
753.394	535.348
753.972	533.924
754.402	532.311
754.702	530.669
754.890	529.158
754.987	527.938
755.010	527.168
754.980	527.003
754.923	527.442
754.878	528.328
754.882	529.496
754.973	530.781
755.182	532.031
755.496	533.179
755.884	534.196
756.313	535.051
756.754	535.716
757.176	536.158
757.587	536.287
758.049	535.941
758.595	535.037
759.189	533.746
759.775	532.286
760.302	530.875
760.716	529.732
760.964	529.073
761.000	529.098
760.870	529.774
760.677	530.920
760.525	532.355
760.518	533.897
760.759	535.364
761.349	536.579
762.293	537.479
763.502	538.110
764.888	538.523
766.359	538.770
767.823	538.901
769.192	538.967
770.373	539.018
771.324	539.042
772.071	538.929
772.644	538.560
773.075	537.819
773.394	536.680
773.622	535.329
773.779	533.979
773.885	532.842
773.963	532.131
774.031	532.055
774.120	532.640
774.264	533.712
774.502	535.086
774.869	536.578
775.404	538.003
776.142	539.175
777.091	539.964
778.181	540.369
779.335	540.409
780.471	540.102
781.512	539.466
782.380	538.523
783.051	537.365
783.560	536.160
783.945	535.082
784.243	534.305
784.491	534.000
784.723	534.284
784.950	535.014
785.179	535.977
785.418	536.957
785.675	537.755
785.995	538.327
786.448	538.734
787.101	539.036
787.995	539.282
789.098	539.484
790.366	539.646
791.753	539.773
793.215	539.873
794.706	539.948
796.183	540.006
797.604	540.044
798.942	540.039
800.172	539.962
801.268	539.788
802.205	539.488
802.957	539.036
803.506	538.411
803.865	537.619
804.058	536.678
804.110	535.603
804.043	534.410
803.883	533.117
803.662	531.755
803.417	530.365
803.187	528.987
803.007	527.661
802.917	526.428
802.953	525.329
803.152	524.402
803.526	523.685
804.074	523.208
804.794	523.005
805.684	523.100
806.714	523.470
807.846	524.062
809.037	524.826
810.249	525.708
811.441	526.657
812.573	527.621
813.607	528.552
814.543	529.437
815.412	530.295
816.245	531.144
817.070	532.002
817.920	532.889
818.826	533.822
819.808	534.819
820.839	535.879
821.862	536.996
822.826	538.163
823.677	539.375
824.360	540.624
824.822	541.903
825.009	543.208
824.889	544.525
824.482	545.835
823.814	547.113
822.913	548.336
821.806	549.481
820.522	550.524
819.087	551.441
817.529	552.210
815.865	552.820
814.096	553.284
812.222	553.614
810.241	553.826
808.152	553.934
805.955	553.952
803.648	553.893
801.231	553.773
798.703	553.605
796.063	553.404
793.309	553.183
790.442	552.957
787.460	552.736
