x	y
524.667	71.333
525.776	70.803
526.891	69.954
527.995	68.934
529.072	67.886
530.105	66.957
531.093	66.268
532.054	65.919
533.008	66.003
533.974	66.582
534.961	67.582
535.976	68.895
537.027	70.413
538.123	72.029
539.269	73.644
540.466	75.230
541.710	76.789
542.997	78.320
544.325	79.826
545.689	81.307
547.085	82.764
548.505	84.192
549.929	85.571
551.338	86.881
552.710	88.104
554.026	89.219
555.266	90.206
556.435	91.025
557.589	91.595
558.791	91.828
560.104	91.636
561.574	90.972
563.189	89.917
564.930	88.579
566.772	87.063
568.696	85.478
570.678	83.929
572.697	82.524
574.735	81.353
576.797	80.408
578.896	79.642
581.045	79.006
583.258	78.453
585.549	77.935
587.930	77.405
590.415	76.817
592.950	76.170
595.367	75.551
597.488	75.051
599.133	74.763
600.124	74.780
600.285	75.194
599.575	76.022
598.156	77.174
596.206	78.552
593.904	80.056
591.427	81.587
588.954	83.047
586.664	84.335
584.691	85.386
583.007	86.264
581.537	87.065
580.210	87.885
578.952	88.820
577.693	89.967
576.427	91.350
575.283	92.854
574.408	94.347
573.946	95.696
574.044	96.770
574.775	97.478
576.015	97.848
577.604	97.928
579.381	97.767
581.194	97.414
583.005	96.897
584.849	96.235
586.761	95.444
588.777	94.543
590.934	93.549
593.267	92.479
595.810	91.351
598.555	90.178
601.458	88.971
604.474	87.741
607.560	86.498
610.671	85.253
613.762	84.016
616.789	82.797
619.708	81.608
622.475	80.458
625.044	79.359
627.403	78.320
629.594	77.354
631.661	76.472
633.652	75.685
635.614	75.004
637.592	74.440
639.634	74.006
641.767	73.701
643.947	73.481
646.108	73.290
648.184	73.072
650.110	72.772
651.820	72.331
653.251	71.697
654.374	70.853
655.202	69.831
655.752	68.665
656.040	67.387
656.093	66.021
655.960	64.559
655.693	62.993
655.345	61.312
654.968	59.508
654.592	57.604
654.178	55.730
653.674	54.033
653.029	52.664
652.189	51.772
651.114	51.473
649.841	51.663
648.438	52.136
646.977	52.688
645.527	53.115
644.117	53.299
642.710	53.253
641.265	53.005
639.739	52.580
638.092	52.005
636.313	51.309
634.419	50.520
632.429	49.671
630.358	48.790
628.226	47.907
626.049	47.054
623.844	46.260
621.612	45.541
619.341	44.902
617.014	44.347
614.619	43.880
612.140	43.506
609.564	43.229
606.875	43.053
604.062	42.981
601.125	43.010
598.087	43.125
594.971	43.312
591.799	43.555
588.593	43.842
585.376	44.157
582.172	44.485
579.001	44.812
575.889	45.124
572.856	45.406
569.915	45.651
567.060	45.869
564.285	46.069
561.580	46.263
558.938	46.460
556.351	46.670
553.812	46.905
551.312	47.173
548.844	47.486
546.399	47.844
543.968	48.238
541.541	48.657
539.108	49.093
536.660	49.534
534.188	49.973
531.682	50.398
529.133	50.800
526.591	51.184
524.195	51.579
522.091	52.014
520.424	52.519
519.342	53.123
518.989	53.857
519.362	54.738
520.167	55.764
521.073	56.929
521.750	58.226
521.992	59.641
521.892	61.139
521.590	62.679
521.226	64.222
520.938	65.730
520.827	67.160
520.922	68.465
521.242	69.596
521.808	70.504
522.613	71.138
523.591	71.436
524.667	71.333
532.833	66.833
655.167	68.500


