x	y
593.333	160.333
592.328	159.012
591.194	157.552
589.950	155.970
588.616	154.286
587.213	152.517
585.761	150.682
584.279	148.800
582.787	146.889
581.306	144.967
579.855	143.053
578.455	141.166
577.121	139.319
575.848	137.510
574.627	135.728
573.444	133.964
572.289	132.208
571.150	130.450
570.016	128.679
568.875	126.887
567.716	125.063
566.528	123.198
565.299	121.281
564.022	119.306
562.702	117.276
561.347	115.198
559.965	113.079
558.565	110.925
557.156	108.741
555.746	106.535
554.344	104.313
552.956	102.082
551.594	99.847
550.263	97.615
548.974	95.393
547.734	93.186
546.550	91.004
545.424	88.858
544.358	86.762
543.355	84.728
542.417	82.769
541.544	80.898
540.740	79.128
540.006	77.472
539.345	75.943
538.758	74.552
538.240	73.316
537.739	72.255
537.184	71.397
536.504	70.767
535.627	70.390
534.490	70.288
533.106	70.426
531.533	70.739
529.826	71.162
528.045	71.629
526.246	72.075
524.486	72.434
522.823	72.641
521.314	72.632
519.992	72.377
518.867	71.884
517.950	71.163
517.248	70.224
516.770	69.075
516.523	67.729
516.478	66.225
516.585	64.618
516.795	62.964
517.058	61.318
517.325	59.736
517.544	58.274
517.667	56.987
517.645	55.917
517.436	55.050
516.997	54.357
516.288	53.813
515.270	53.390
513.949	53.074
512.355	52.860
510.520	52.741
508.475	52.711
506.252	52.765
503.881	52.895
501.395	53.097
498.824	53.363
496.200	53.689
493.554	54.067
490.913	54.495
488.290	54.979
485.697	55.525
483.147	56.140
480.651	56.830
478.222	57.602
475.872	58.463
473.612	59.419
471.455	60.477
469.412	61.643
467.497	62.924
465.720	64.327
464.092	65.858
462.612	67.518
461.272	69.306
460.064	71.222
458.980	73.264
458.013	75.431
457.154	77.723
456.395	80.139
455.729	82.678
455.149	85.338
454.646	88.120
454.212	91.021
453.839	94.042
453.522	97.174
453.254	100.401
453.030	103.708
452.845	107.080
452.693	110.500
452.569	113.952
452.468	117.420
452.383	120.890
452.311	124.344
452.245	127.767
452.179	131.144
452.110	134.458
452.030	137.693
451.936	140.835
451.820	143.866
451.679	146.772
451.509	149.539
451.321	152.175
451.128	154.691
450.945	157.099
450.786	159.413
450.665	161.644
450.598	163.804
450.597	165.905
450.678	167.961
450.854	169.982
451.140	171.982
451.550	173.971
452.081	175.948
452.715	177.894
453.432	179.792
454.215	181.623
455.043	183.368
455.898	185.011
456.760	186.533
457.610	187.915
458.430	189.139
459.217	190.185
460.020	191.027
460.896	191.639
461.901	191.993
463.091	192.063
464.520	191.825
466.168	191.324
467.957	190.659
469.809	189.929
471.643	189.236
473.381	188.679
474.942	188.360
476.249	188.379
477.221	188.835
477.840	189.747
478.195	190.978
478.389	192.378
478.526	193.795
478.707	195.076
479.036	196.069
479.596	196.672
480.412	196.926
481.498	196.903
482.868	196.674
484.536	196.312
486.516	195.887
488.821	195.470
491.439	195.093
494.332	194.751
497.462	194.435
500.789	194.138
504.274	193.851
507.880	193.566
511.566	193.276
515.294	192.973
519.024	192.648
522.719	192.295
526.339	191.904
529.845	191.468
533.199	190.979
536.361	190.428
539.292	189.809
541.954	189.113
544.315	188.334
546.394	187.480
548.229	186.561
549.858	185.591
551.318	184.582
552.647	183.544
553.883	182.491
555.064	181.435
556.228	180.388
557.410	179.361
558.629	178.369
559.886	177.429
561.183	176.555
562.522	175.764
563.906	175.071
565.336	174.493
566.814	174.045
568.341	173.740
569.899	173.563
571.469	173.496
573.029	173.516
574.559	173.603
576.037	173.735
577.443	173.892
578.755	174.052
579.976	174.195
581.141	174.300
582.289	174.345
583.460	174.311
584.692	174.177
586.024	173.921
587.465	173.535
588.961	173.035
590.457	172.436
591.893	171.757
593.213	171.013
594.357	170.223
595.269	169.404
595.902	168.570
596.275	167.729
596.427	166.887
596.397	166.047
596.222	165.213
595.918	164.372
595.481	163.494
594.907	162.548
594.193	161.504
593.333	160.333
528.833	70.167
591.500	165.500


