x	y
583.129	178.503
584.176	178.810
585.684	178.603
587.488	177.992
589.421	177.088
591.316	176.001
593.008	174.839
594.359	173.703
595.416	172.632
596.287	171.645
597.082	170.761
597.910	169.998
598.844	169.386
599.849	168.994
600.869	168.896
601.851	169.160
602.759	169.650
603.577	170.037
604.292	169.986
604.892	169.373
605.367	168.414
605.710	167.361
605.910	166.407
605.944	165.517
605.785	164.594
605.409	163.553
604.834	162.397
604.093	161.175
603.223	159.939
602.260	158.736
601.236	157.607
600.179	156.535
599.113	155.484
598.063	154.419
597.052	153.306
596.104	152.112
595.214	150.831
594.363	149.475
593.532	148.053
592.701	146.578
591.851	145.060
590.969	143.512
590.070	141.945
589.177	140.372
588.316	138.807
587.508	137.263
586.776	135.752
586.140	134.284
585.579	132.847
585.061	131.419
584.550	129.980
584.013	128.507
583.418	126.980
582.752	125.390
582.035	123.743
581.287	122.048
580.527	120.312
579.775	118.542
579.052	116.747
578.376	114.932
577.767	113.105
577.241	111.269
576.818	109.429
576.515	107.592
576.351	105.761
576.342	103.942
576.485	102.145
576.750	100.385
577.109	98.676
577.532	97.034
577.988	95.474
578.448	94.010
578.886	92.633
579.275	91.307
579.592	89.997
579.812	88.666
579.913	87.281
579.907	85.851
579.830	84.413
579.720	83.006
579.613	81.667
579.540	80.428
579.492	79.271
579.440	78.153
579.352	77.031
579.200	75.863
578.987	74.648
578.726	73.398
578.433	72.129
578.123	70.855
577.790	69.588
577.396	68.335
576.899	67.104
576.259	65.901
575.438	64.735
574.424	63.632
573.222	62.629
571.836	61.762
570.269	61.067
568.526	60.580
566.626	60.316
564.621	60.254
562.566	60.366
560.517	60.623
558.528	61.000
556.654	61.468
554.949	62.000
553.422	62.588
552.026	63.245
550.709	63.986
549.423	64.827
548.115	65.783
546.753	66.867
545.382	68.092
544.073	69.471
542.895	71.015
541.920	72.735
541.218	74.645
540.858	76.754
540.864	79.056
541.202	81.515
541.830	84.095
542.709	86.760
543.798	89.473
545.057	92.198
546.446	94.898
547.926	97.537
549.454	100.079
550.996	102.492
552.532	104.778
554.051	106.948
555.543	109.016
556.995	110.995
558.398	112.896
559.740	114.732
561.010	116.516
562.196	118.262
563.300	119.975
564.345	121.656
565.356	123.301
566.361	124.909
567.383	126.476
568.451	128.001
569.587	129.481
570.793	130.924
572.045	132.344
573.320	133.756
574.594	135.177
575.843	136.620
577.043	138.102
578.175	139.635
579.240	141.216
580.249	142.837
581.211	144.490
582.134	146.167
583.028	147.861
583.901	149.564
584.758	151.260
585.589	152.924
586.384	154.525
587.134	156.036
587.827	157.429
588.454	158.674
589.017	159.776
589.537	160.797
590.040	161.807
590.548	162.877
591.054	164.040
591.462	165.235
591.662	166.385
591.543	167.413
591.042	168.278
590.245	169.048
589.272	169.813
588.239	170.666
587.243	171.653
586.311	172.675
585.455	173.597
584.684	174.289
584.011	174.654
583.438	174.927
582.964	175.520
582.653	176.538
582.656	177.652
583.129	178.503

