x	y
998.000	987.000
999.225	987.310
1000.470	987.699
1001.725	988.161
1002.981	988.689
1004.230	989.276
1005.461	989.916
1006.667	990.602
1007.838	991.328
1008.965	992.087
1010.039	992.873
1011.051	993.678
1011.991	994.497
1012.851	995.322
1013.622	996.147
1014.294	996.966
1014.858	997.771
1015.307	998.557
1015.643	999.327
1015.872	1000.084
1016.003	1000.835
1016.044	1001.587
1016.003	1002.344
1015.888	1003.112
1015.705	1003.898
1015.464	1004.707
1015.172	1005.545
1014.836	1006.418
1014.463	1007.325
1014.053	1008.263
1013.609	1009.225
1013.133	1010.207
1012.627	1011.204
1012.093	1012.209
1011.532	1013.218
1010.948	1014.226
1010.341	1015.227
1009.714	1016.216
1009.069	1017.187
1008.407	1018.136
1007.731	1019.058
1007.043	1019.946
1006.345	1020.798
1005.642	1021.617
1004.940	1022.412
1004.243	1023.190
1003.558	1023.958
1002.890	1024.722
1002.244	1025.490
1001.626	1026.271
1001.041	1027.069
1000.496	1027.894
999.994	1028.751
999.542	1029.649
999.146	1030.595
998.810	1031.595
998.535	1032.649
998.316	1033.751
998.152	1034.895
998.036	1036.076
997.967	1037.288
997.939	1038.524
997.950	1039.779
997.995	1041.046
998.071	1042.320
998.175	1043.596
998.301	1044.866
998.447	1046.125
998.609	1047.367
998.783	1048.587
998.965	1049.777
999.152	1050.934
999.347	1052.059
999.556	1053.156
999.782	1054.230
1000.030	1055.286
1000.307	1056.327
1000.617	1057.359
1000.964	1058.387
1001.355	1059.414
1001.793	1060.445
1002.284	1061.486
1002.833	1062.539
1003.445	1063.610
1004.125	1064.704
1004.878	1065.825
1005.707	1066.977
1006.612	1068.156
1007.588	1069.361
1008.631	1070.585
1009.737	1071.825
1010.901	1073.076
1012.121	1074.334
1013.391	1075.594
1014.707	1076.853
1016.066	1078.106
1017.463	1079.348
1018.894	1080.575
1020.356	1081.784
1021.843	1082.969
1023.353	1084.126
1024.880	1085.252
1026.421	1086.341
1027.972	1087.389
1029.528	1088.392
1031.086	1089.346
1032.641	1090.246
1034.190	1091.088
1035.727	1091.868
1037.250	1092.581
1038.760	1093.228
1040.258	1093.808
1041.748	1094.323
1043.231	1094.772
1044.711	1095.158
1046.189	1095.480
1047.668	1095.738
1049.151	1095.935
1050.640	1096.070
1052.137	1096.143
1053.645	1096.157
1055.167	1096.111
1056.704	1096.005
1058.259	1095.842
1059.836	1095.620
1061.435	1095.342
1063.060	1095.007
1064.713	1094.616
1066.397	1094.171
1068.114	1093.671
1069.864	1093.118
1071.647	1092.514
1073.464	1091.862
1075.313	1091.164
1077.195	1090.422
1079.109	1089.638
1081.054	1088.814
1083.031	1087.953
1085.039	1087.057
1087.077	1086.127
1089.146	1085.167
1091.246	1084.177
1093.375	1083.161
1095.533	1082.121
1097.721	1081.058
1099.938	1079.976
1102.183	1078.875
1104.456	1077.759
1106.757	1076.629
1109.086	1075.488
1111.442	1074.338
1113.825	1073.181
