x	y
360.000	1157.000
361.478	1161.093
363.279	1165.098
365.376	1169.027
367.742	1172.887
370.352	1176.690
373.179	1180.444
376.196	1184.160
379.379	1187.848
382.700	1191.516
386.133	1195.175
389.652	1198.835
393.230	1202.505
396.842	1206.194
400.461	1209.914
404.060	1213.673
407.614	1217.481
411.097	1221.348
414.481	1225.283
417.741	1229.297
420.851	1233.399
423.786	1237.598
426.544	1241.893
429.140	1246.276
431.591	1250.737
433.913	1255.269
436.122	1259.862
438.232	1264.508
440.261	1269.198
442.223	1273.923
444.136	1278.674
446.014	1283.444
447.874	1288.223
449.732	1293.003
451.603	1297.774
453.503	1302.529
455.448	1307.258
457.454	1311.953
459.538	1316.604
461.714	1321.205
463.998	1325.745
466.407	1330.216
468.956	1334.609
471.654	1338.920
474.495	1343.151
477.478	1347.303
480.596	1351.378
483.846	1355.378
487.224	1359.304
490.725	1363.160
494.345	1366.946
498.080	1370.665
501.925	1374.317
505.877	1377.906
509.931	1381.433
514.083	1384.900
518.328	1388.309
522.663	1391.662
527.083	1394.960
531.584	1398.205
536.161	1401.400
540.811	1404.546
545.528	1407.645
550.310	1410.698
555.151	1413.709
560.046	1416.679
564.984	1419.613
569.954	1422.515
574.947	1425.389
579.951	1428.242
584.956	1431.076
589.951	1433.896
594.926	1436.707
599.871	1439.514
604.773	1442.320
609.624	1445.131
614.413	1447.951
619.128	1450.784
623.759	1453.635
628.296	1456.509
632.728	1459.410
637.045	1462.342
641.235	1465.310
645.289	1468.319
649.195	1471.373
652.944	1474.476
656.524	1477.633
659.926	1480.849
663.152	1484.115
666.214	1487.415
669.125	1490.733
671.897	1494.051
674.542	1497.354
677.074	1500.624
679.505	1503.844
681.848	1506.999
684.114	1510.070
686.316	1513.042
688.468	1515.898
690.581	1518.620
692.669	1521.193
694.743	1523.600
696.816	1525.823
698.900	1527.847
701.005	1529.672
703.131	1531.318
705.281	1532.807
707.458	1534.162
709.663	1535.403
711.899	1536.552
714.169	1537.631
716.473	1538.662
718.815	1539.666
721.197	1540.665
723.621	1541.679
726.092	1542.724
728.618	1543.808
731.205	1544.941
733.862	1546.132
736.594	1547.391
739.409	1548.727
742.314	1550.149
745.317	1551.667
748.424	1553.290
751.642	1555.028
754.979	1556.890
758.442	1558.885
762.038	1561.023
765.770	1563.309
769.627	1565.729
773.595	1568.267
777.658	1570.906
781.801	1573.628
