x	y
463.000	272.500
463.288	273.622
464.026	274.689
464.957	275.790
465.827	277.010
466.485	278.403
466.912	279.970
467.100	281.715
467.038	283.636
466.734	285.724
466.299	287.881
465.893	289.977
465.673	291.879
465.799	293.454
466.422	294.579
467.562	295.268
469.136	295.649
471.052	295.855
473.223	296.018
475.568	296.236
478.036	296.499
480.581	296.780
483.155	297.050
485.714	297.280
488.209	297.441
490.595	297.506
492.853	297.463
495.009	297.331
497.100	297.136
499.159	296.902
501.222	296.651
503.322	296.408
505.457	296.203
507.577	296.070
509.631	296.044
511.564	296.161
513.326	296.457
514.864	296.931
516.146	297.392
517.140	297.580
517.818	297.247
518.136	296.374
518.040	295.154
517.493	293.764
516.555	292.271
515.320	290.695
513.883	289.063
512.338	287.396
510.776	285.720
509.245	284.093
507.738	282.608
506.247	281.360
504.765	280.445
503.282	279.959
501.794	279.896
500.310	279.992
498.836	279.940
497.382	279.434
495.952	278.285
494.540	276.675
493.137	274.858
491.734	273.086
490.323	271.615
488.895	270.691
487.470	270.375
486.098	270.497
484.831	270.873
483.713	271.330
482.679	271.798
481.607	272.264
480.381	272.714
479.043	273.028
477.801	272.979
476.872	272.338
476.367	270.996
476.149	269.148
476.045	267.031
475.880	264.882
475.481	262.940
474.716	261.387
473.614	260.204
472.237	259.327
470.649	258.692
468.917	258.241
467.156	258.001
465.514	258.057
464.142	258.500
463.188	259.415
462.707	260.742
462.626	262.231
462.866	263.616
463.343	264.656
463.943	265.392
464.530	266.037
464.961	266.774
465.065	267.670
464.694	268.756
463.997	269.986
463.318	271.266
463.000	272.500
462.500	267.500
517.500	297.000


