x	y
445.000	353.000
446.884	353.857
449.260	354.058
451.997	353.720
454.967	352.956
458.038	351.882
461.087	350.608
464.037	349.208
466.846	347.732
469.470	346.231
471.865	344.755
473.987	343.354
475.798	342.067
477.299	340.832
478.517	339.532
479.474	338.050
480.221	336.323
480.915	334.527
481.743	332.903
482.890	331.691
484.412	331.016
486.149	330.810
487.921	330.984
489.570	331.422
491.062	331.865
492.393	332.011
493.537	331.627
494.343	330.818
494.645	329.791
494.578	328.661
494.462	327.484
494.452	326.279
494.499	325.021
494.595	323.699
494.946	322.385
495.811	321.173
497.280	320.118
499.145	319.214
501.164	318.448
503.100	317.806
504.824	317.248
506.385	316.698
507.851	316.072
509.276	315.305
510.662	314.405
511.992	313.412
513.246	312.359
514.358	311.248
515.225	310.054
515.751	308.755
515.965	307.406
516.001	306.119
515.985	304.967
515.982	303.771
516.029	302.294
516.073	300.887
515.953	300.576
515.599	301.726
515.138	303.193
514.711	303.819
514.263	304.362
513.729	305.267
513.131	305.555
512.229	305.112
510.640	304.483
508.449	303.864
505.945	303.293
503.416	302.809
501.148	302.450
499.285	302.230
497.615	302.108
495.872	302.032
493.805	301.953
491.396	301.836
488.835	301.667
486.313	301.427
484.027	301.100
482.154	300.661
480.736	299.998
479.742	298.957
479.133	297.403
478.783	295.450
478.510	293.367
478.132	291.428
477.477	289.868
476.489	288.616
475.165	287.437
473.506	286.100
471.569	284.481
469.517	282.652
467.523	280.706
465.760	278.737
464.401	276.839
463.556	275.089
463.133	273.526
463.002	272.179
463.057	271.048
463.318	269.974
463.844	268.744
464.488	267.351
464.944	265.946
464.920	264.687
464.380	263.758
463.447	263.343
462.200	263.361
460.669	263.493
458.883	263.464
456.852	263.263
454.583	262.968
452.081	262.658
449.353	262.411
446.453	262.280
443.490	262.290
440.581	262.463
437.839	262.819
435.381	263.383
433.295	264.171
431.505	265.183
429.863	266.409
428.224	267.840
426.447	269.465
424.510	271.268
422.485	273.229
420.445	275.325
418.465	277.535
416.620	279.839
414.978	282.214
413.576	284.641
412.444	287.102
411.610	289.576
411.103	292.046
410.953	294.486
411.226	296.795
412.011	298.811
413.399	300.373
415.477	301.323
418.212	301.657
421.424	301.550
424.928	301.191
428.535	300.769
432.059	300.470
435.312	300.485
438.143	300.957
440.572	301.829
442.672	302.981
444.516	304.294
446.175	305.647
447.702	306.958
449.085	308.255
450.302	309.587
451.333	310.999
452.168	312.547
452.822	314.300
453.309	316.326
453.644	318.689
453.827	321.343
453.849	324.124
453.698	326.866
453.363	329.399
452.831	331.558
452.091	333.287
451.134	334.731
449.950	336.055
448.536	337.417
446.995	338.909
445.495	340.578
444.205	342.468
443.295	344.626
442.887	346.998
443.016	349.351
443.711	351.435
445.000	353.000

462.500	271.500
517.500	307.500

